,TITLE,ORCHESTRA,SINGER,STYLE,DATE,COMPOSER,AUTHOR,SOLOIST,DIRECTOR
10208,Noche de tango,Ricardo TANTURI,Roberto Videla,TANGO,1946-09-05,Nicolás Vaccaro,Horacio Sanguinetti,,
10209,De todo te olvidas (Cabeza de novia),Ricardo TANTURI,Osvaldo Ribo,TANGO,1946-11-15,Salvador Merico,Enrique Cadícamo,,
10210,En la copa de la vida,Ricardo TANTURI,Roberto Videla,TANGO,1946-11-15,Roberto Videla,Reinaldo Yiso,,
10211,Ana Lucia,Ricardo TANTURI,Osvaldo Ribo,MARCHA,1946-11-29,?,?,,
10212,Tus besos fueron mios,Ricardo TANTURI,Roberto Videla,MARCHA,1946-11-29,Anselmo Aieta,Francisco García Jiménez,,
10213,Tu olvido,Ricardo TANTURI,Roberto Videla y Osvaldo Ribo,VALS,1946-12-19,Vicente Spina,Vicente Spina,,
10214,Yo sé lo que te digo,Ricardo TANTURI,Roberto Videla,TANGO,1946-12-19,Vicente Salerno,Ángel Gatti,,
10215,Mariposita,Ricardo TANTURI,,TANGO,1947-03-28,Anselmo Aieta,Francisco García Jiménez,,
10216,Me da pena confesarlo,Ricardo TANTURI,Roberto Videla,TANGO,1947-03-28,Carlos Gardel,Alfredo Le Pera y Mario Battistella,,
10217,Alma de bohemio,Ricardo TANTURI,Osvaldo Ribo,TANGO,1947-04-02,Roberto Firpo,Juan Andrés Caruso,,
10218,Amiga,Ricardo TANTURI,Roberto Videla,TANGO,1947-04-02,Carlos Viván,Horacio Sanguinetti,,
10219,Callejero,Ricardo TANTURI,Roberto Videla,TANGO,1947-05-09,Arturo Gallucci,Francisco Bohigas,,
10220,Remembranza,Ricardo TANTURI,Osvaldo Ribo,TANGO,1947-05-09,Mario Melfi,Mario Battistella,,
10221,San José de Flores,Ricardo TANTURI,Roberto Videla,TANGO,1947-05-09,Armando Acquarone,Enrique Gaudino,,
10222,Vagabundo,Ricardo TANTURI,Osvaldo Ribo,TANGO,1947-05-09,Agustín Magaldi y Pedro Noda,Emilio Magaldi,,
10223,Aquel muchacho triste,Ricardo TANTURI,Roberto Videla,TANGO,1947-10-31,José De Grandis,José De Grandis,,
10224,Quejas del alma,Ricardo TANTURI,Osvaldo Ribo,VALS,1947-10-31,Domingo Julio Vivas,Juan Mazaroni,,
10225,Bolero,Ricardo TANTURI,Roberto Videla,TANGO,1948-01-26,Santos Lipesker,Reinaldo Yiso,,
10226,Papel picado,Ricardo TANTURI,Osvaldo Ribo,TANGO,1948-01-26,Cátulo Castillo,José González Castillo,,
10227,Campeonato,Ricardo TANTURI,Roberto Videla,TANGO,1948-06-25,Ricardo Tanturi,Reinaldo Yiso,,
10228,Dos que se aman,Ricardo TANTURI,Roberto Videla y Osvaldo Ribo,VALS,1948-06-25,Antonio Tormo,Manuel María Flores,,
10229,Cuando llora la milonga,Ricardo TANTURI,Osvaldo Ribo,TANGO,1950-08-16,Juan de Dios Filiberto,María Luisa Carnelli,,
10230,Milonguita,Ricardo TANTURI,Horacio Roca,TANGO,1950-08-16,Enrique Delfino,Samuel Linnig,,
10231,Besos brujos,Ricardo TANTURI,Elsa Rivas,TANGO,1956-10-22,Alfredo Malerba y Rodolfo Sciammarella,Alfredo Malerba y Rodolfo Sciammarella,,
10232,Decís que no te quiero,Ricardo TANTURI,Juan Carlos Godoy,TANGO,1956-10-22,Ricardo Tanturi,Reinaldo Yiso,,
10233,Cachá viaje,Ricardo TANTURI,Horacio Roca,TANGO,1957-02-15,Jaime Vila,Ernesto Cardenal,,
10234,Muriéndome de amor,Ricardo TANTURI,Elsa Rivas,TANGO,1957-02-15,Manuel Sucher,Carlos Bahr,,
10235,Fondín de Pedro Mendoza,Ricardo TANTURI,Juan Carlos Godoy,TANGO,1957-04-02,Raúl de los Hoyos,Luis César Amadori y Ivo Pelay,,
10236,Provinciana linda,Ricardo TANTURI,Juan Carlos Godoy y Elsa Rivas,VALS,1957-04-02,Ricardo Tanturi,Reinaldo Yiso,,
10237,No la nombres corazón,Ricardo TANTURI,Juan Carlos Godoy,TANGO,1957-07-10,Vicente Salerno,Juan Bautista Gatti,,
10238,Pa' que sientas lo que siento,Ricardo TANTURI,Elsa Rivas,TANGO,1957-07-10,Marcelo Salazar Bonilla,Marcelo Salazar Bonilla,,
10239,Perdóname señor,Ricardo TANTURI,Horacio Roca,TANGO,1957-09-17,Francisco Pracánico,Verminio Servetto,,
10240,Todo por un amor,Ricardo TANTURI,Elsa Rivas,TANGO,1957-09-17,George Andreani,Julio Porter,,
10241,Que Dios me castigue (Que me castigue Dios),Ricardo TANTURI,Elsa Rivas,TANGO,1957-09-30,Marcelo Salazar Bonilla,Marcelo Salazar Bonilla,,
10242,Salimos a bailar,Ricardo TANTURI,Juan Carlos Godoy,TANGO,1957-09-30,Juan Pomati,Leopoldo Díaz Vélez,,
10243,Dónde estará mi vida,Ricardo TANTURI,Osvaldo Ribo,TANGO,1958-04-29,Antonio López Quiroga Segovia,Francisco Caldera y Ignacio Román Jiménez,,
10244,Patadura,Ricardo TANTURI,Horacio Roca,TANGO,1958-04-29,José López Ares,Enrique Carrera Sotelo,,
10245,Madre de los cabellos de plata,Ricardo TANTURI,Alberto Guzman,TANGO,1958-07-23,Alejo Montoro,Juan Solano Pedrero,,
10246,Se casó el pelao,Ricardo TANTURI,Alberto Guzmán y Horacio Roca,MILONGA,1958-07-23,?,?,,
10247,Me robó su cariño,Ricardo TANTURI,Alberto Guzman,TANGO,1958-09-02,Oscar Rubens,Oscar Rubens,,
10248,Un tango para la historia,Ricardo TANTURI,Horacio Roca,TANGO,1958-09-02,Cristóbal Herreros,Cristóbal Herreros,,
10249,De hermano a hermano,Ricardo TANTURI,Horacio Roca,TANGO,1959-01-29,Arturo Gallucci,Arturo Gallucci,,
10250,Otro ángel para el cielo,Ricardo TANTURI,Alberto Guzman,TANGO,1959-01-29,José Zanoni,Rubén Trousel,,
10251,Puerto Nuevo,Ricardo TANTURI,Horacio Roca,TANGO,1959-01-29,Teófilo Lespés,Carlos Pesce,,
10252,Quereme un poquito,Ricardo TANTURI,Alberto Guzman,TANGO,1959-01-29,Mario Rafaelli,Pedro Fernández Sagardi,,
10253,Amigos presente,Ricardo TANTURI,,TANGO,1959-05-27,Ricardo Tanturi,,,
10254,Historia de mi vida,Ricardo TANTURI,Horacio Roca,TANGO,1959-05-27,?,?,,
10255,Aladino,Ricardo TANTURI,Alberto Guzmán y Horacio Roca,VALS,1959-12-09,?,?,,
10256,El pollito,Ricardo TANTURI,,TANGO,1959-12-09,Francisco Canaro,,,
10257,Que no saque el tres,Ricardo TANTURI,Alberto Guzmán y Horacio Roca,MILONGA,1959-12-09,?,?,,
10258,Rio rebelde,Ricardo TANTURI,Alberto Guzmán,TANGO,1959-12-09,?,?,,
10259,El resero,Ricardo TANTURI,,TANGO,1965-00-00,Raimundo Petillo,,,
10260,Qué noche,Ricardo TANTURI,,TANGO,1965-00-00,Agustín Bardi,,,
10261,Trasnochando,Ricardo TANTURI,Jorge Falcón,TANGO,1965-00-00,Armando Baliotti,Santiago Adamini,,
10262,Un amor,Ricardo TANTURI,Blanca Bassi,TANGO,1965-00-00,Alfredo Malerba y Mario Maurano,Luis Rubistein,,
10263,La cumparsita,Roberto FIRPO,,TANGO,1917-00-00,Gerardo Matos Rodriguez,Pascual Contursi y Enrique Maroni,,
10264,Cotorrita de la suerte,Roberto FIRPO,,TANGO,1927-00-00,Alfredo De Franco,José De Grandis,,
10265,Fuegos artificiales,Roberto FIRPO,,TANGO,1927-00-00,Roberto Firpo y Eduardo Arolas,,,
10266,Mandria,Roberto FIRPO,,TANGO,1927-00-00,Juan Rodríguez,Francisco Brancatti y Juan Velich,,
10267,Saturnia,Roberto FIRPO,,TANGO,1927-00-00,Juan de Dios Filiberto,,,
10268,Una noche en la milonga,Roberto FIRPO,,TANGO,1929-00-00,Guillermo Del Ciancio,Fidel Robertassi y Nolo López,,
10269,Qué noche,Roberto FIRPO,,TANGO,1930-00-00,Agustín Bardi,,,
10270,Viborita,Roberto FIRPO,,TANGO,1930-00-00,Eduardo Arolas,Gabriel Clausi,,
10271,Romance (2),Roberto FIRPO,,VALS,1931-01-05,?,?,,
10272,La entrerriana (2),Roberto FIRPO,Principe Azul,RANCHERA,1931-03-10,?,?,,
10273,Pobre huerfanita,Roberto FIRPO,,TANGO,1931-04-14,?,?,,
10274,Rio dulce,Roberto FIRPO,,RANCHERA,1931-04-14,?,?,,
10275,El ahorcado,Roberto FIRPO,Principe Azul,TANGO,1931-05-07,?,?,,
10276,En el maizal,Roberto FIRPO,Principe Azul,RANCHERA,1931-05-07,?,?,,
10277,Se caso la viuda,Roberto FIRPO,Principe Azul,POLCA,1931-05-07,?,?,,
10278,Se necesita un amigo,Roberto FIRPO,,TANGO,1931-05-07,?,?,,
10279,Estoy en la vía,Roberto FIRPO,,TANGO,1931-05-28,?,?,,
10280,Zapatea juerte mi negra,Roberto FIRPO,Principe Azul,RANCHERA,1931-05-28,?,?,,
10281,El desquite,Roberto FIRPO,,TANGO,1931-05-29,?,?,,
10282,Aromas de España,Roberto FIRPO,Principe Azul,PASODOBLE,1931-06-25,?,?,,
10283,Bichito de San Antonio,Roberto FIRPO,Principe Azul,RANCHERA,1931-06-25,?,?,,
10284,Toda tuya,Roberto FIRPO,,VALS,1931-07-02,?,?,,
10285,Tuve una muñeca,Roberto FIRPO,,TANGO,1931-07-02,?,?,,
10286,Honda tristeza,Roberto FIRPO,Principe Azul,TANGO,1931-07-16,Roberto Firpo,Vicente Planells del Campo,,
10287,La caravana,Roberto FIRPO,,TANGO,1931-07-16,?,?,,
10288,Linda moza,Roberto FIRPO,,RANCHERA,1931-07-16,?,?,,
10289,Siempre te recuerdo (2),Roberto FIRPO,,VALS,1931-07-16,Roberto Firpo,,,
10290,Los claveles de la virgen,Roberto FIRPO,,PASODOBLE,1931-08-13,?,?,,
10291,Viejo tango,Roberto FIRPO,Principe Azul,TANGO,1931-08-13,?,?,,
10292,Al gran bonete (2),Roberto FIRPO,coro,TANGO,1931-08-27,?,?,,
10293,El rápido,Roberto FIRPO,coro,TANGO,1931-08-27,Roberto Firpo,,,
10294,Lo mismo que ayer (2),Roberto FIRPO,Principe Azul,TANGO,1931-08-27,Roberto Firpo,Vicente Planells del Campo,,
10295,Presentimiento,Roberto FIRPO,,VALS,1931-08-27,Roberto Firpo,,,
10296,Carillón de La Merced,Roberto FIRPO,Principe Azul,TANGO,1931-09-17,Enrique Santos Discépolo,Enrique Santos Discépolo y Alfredo Le Pera,,
10297,La guitarrera de San Nicolás,Roberto FIRPO,,VALS,1931-09-17,?,?,,
10298,La porfiada,Roberto FIRPO,Principe Azul,RANCHERA,1931-09-17,?,?,,
10299,La que murió en París,Roberto FIRPO,Principe Azul,TANGO,1931-09-17,Enrique Maciel,Héctor Pedro Blomberg,,
10300,Pensando en ti,Roberto FIRPO,Principe Azul y Dorita Davis,TANGO,1931-09-24,?,?,,
10301,Titina,Roberto FIRPO,Principe Azul y Dorita Davis,RANCHERA,1931-09-24,?,?,,
10302,De cita en cita,Roberto FIRPO,Principe Azul y Héctor Villanueva,TANGO,1931-10-07,?,?,,
10303,El apronte,Roberto FIRPO,,TANGO,1931-10-07,Roberto Firpo,,,
10304,Yo tuve un amor (La canción del vagabundo),Roberto FIRPO,Principe Azul,FOXTROT,1931-10-07,?,?,,
10305,El rancho de ña pancha,Roberto FIRPO,,RANCHERA,1931-10-08,?,?,,
10306,La gitana del cañi,Roberto FIRPO,,PASODOBLE,1931-10-15,?,?,,
10307,Por ellas no me casé,Roberto FIRPO,Principe Azul,TANGO,1931-10-15,?,?,,
10308,Amor imperial,Roberto FIRPO,Principe Azul y Carlos Varela,FOXTROT,1931-11-05,?,?,,
10309,Callecita de ensueño,Roberto FIRPO,Principe Azul,TANGO,1931-11-05,?,?,,
10310,Falsía,Roberto FIRPO,,TANGO,1931-11-05,?,?,,
10311,República,Roberto FIRPO,,PASODOBLE,1931-11-05,?,?,,
10312,La fuente del vergel,Roberto FIRPO,Principe Azul,PASODOBLE,1931-11-14,?,?,,
10313,María Elena,Roberto FIRPO,Principe Azul,VALS,1931-11-14,?,?,,
10314,En un florido balcón,Roberto FIRPO,,TANGO,1931-12-05,?,?,,
10315,La muchacha (La muchacha del arrabal),Roberto FIRPO,,TANGO,1931-12-05,Roberto Firpo,José Ferreyra y Leopoldo Torre Ríos,,
10316,Lágrimas de madre,Roberto FIRPO,Principe Azul,TANGO,1931-12-05,?,?,,
10317,Fiesta,Roberto FIRPO,,RUMBA,1931-12-09,?,?,,
10318,La macarena,Roberto FIRPO,Principe Azul,PASODOBLE,1931-12-09,?,?,,
10319,Adiós chula,Roberto FIRPO,,FOXTROT,1931-12-19,?,?,,
10320,Dolor de preso,Roberto FIRPO,Principe Azul,TANGO,1931-12-19,?,?,,
10321,Sos un tipo regadera,Roberto FIRPO,Principe Azul,TANGO,1932-01-05,?,?,,
10322,Confieso que te amo,Roberto FIRPO,Principe Azul,FOXTROT,1932-01-07,?,?,,
10323,Miserere,Roberto FIRPO,Principe Azul,TANGO,1932-01-07,?,?,,
10324,Palo dulce,Roberto FIRPO,,TANGO,1932-01-07,?,?,,
10325,Despues de tanto rodar,Roberto FIRPO,Carlos Viván,TANGO,1932-02-18,?,?,,
10326,En un rincon de Sevilla,Roberto FIRPO,Carlos Viván,PASODOBLE,1932-02-18,?,?,,
10327,Mariposa azul,Roberto FIRPO,Carlos Viván y Héctor Villanueva,VALS,1932-02-18,?,?,,
10328,Te vi llorar,Roberto FIRPO,,TANGO,1932-02-18,?,?,,
10329,Mentirillas,Roberto FIRPO,Carlos Viván y Héctor Villanueva,FOXTROT,1932-02-23,?,?,,
10330,No me pidas que te olvide,Roberto FIRPO,Miguel Manacorda y Victorio Cipelli,VALS,1932-02-23,?,?,,
10331,Ave sin rumbo,Roberto FIRPO,Carlos Viván,TANGO,1932-03-10,Roberto Firpo,Vicente Planells del Campo,,
10332,Cha digo con la vieja,Roberto FIRPO,Carlos Viván,RANCHERA,1932-03-10,?,?,,
10333,Clyde,Roberto FIRPO,Carlos Viván,VALS,1932-03-10,Héctor Bates,Venancio Clauso,,
10334,La marejada,Roberto FIRPO,,TANGO,1932-03-10,?,?,,
10335,La ofrenda del trovero,Roberto FIRPO,Carlos Viván,VALS,1932-03-15,?,?,,
10336,Lunes (Lunes trece),Roberto FIRPO,,TANGO,1932-03-15,José Luis Padula,Francisco García Jiménez,,
10337,Poema del viejo balcón,Roberto FIRPO,,TANGO,1932-03-15,?,?,,
10338,De vuelta al suburbio,Roberto FIRPO,Miguel Manacorda,TANGO,1932-04-07,?,?,,
10339,En plena mar,Roberto FIRPO,,VALS,1932-04-07,?,?,,
10340,Mi china (La buena moza),Roberto FIRPO,Miguel Manacorda y Carlos Varela,RANCHERA,1932-04-07,?,?,,
10341,Por unos ojos,Roberto FIRPO,Carlos Varela,PASODOBLE,1932-04-07,?,?,,
10342,Cenizas de mi primer amor,Roberto FIRPO,Roberto Diaz,TANGO,1932-05-09,?,?,,
10343,La chica del foxtrot,Roberto FIRPO,Roberto Diaz,FOXTROT,1932-05-09,?,?,,
10344,Linda campera,Roberto FIRPO,Roberto Diaz,RANCHERA,1932-05-09,?,?,,
10345,Mosquetero de arrabla,Roberto FIRPO,Roberto Diaz,TANGO,1932-05-09,?,?,,
10346,El bailongo,Roberto FIRPO,Roberto Diaz,TANGO,1932-06-13,?,?,,
10347,El pedigueño,Roberto FIRPO,Roberto Diaz,RANCHERA,1932-06-13,?,?,,
10348,Flor de la raza,Roberto FIRPO,Roberto Diaz,PASODOBLE,1932-06-13,?,?,,
10349,La mujer de mis sueños,Roberto FIRPO,,TANGO,1932-06-13,?,?,,
10350,Arrovito gaucho,Roberto FIRPO,Roberto Diaz,VALS,1932-07-07,?,?,,
10351,Boston cocktails,Roberto FIRPO,Héctor Villanueva,FOXTROT,1932-07-07,?,?,,
10352,La cueva de oro,Roberto FIRPO,Héctor Villanueva,TANGO,1932-07-07,?,?,,
10353,Noche de amor,Roberto FIRPO,,TANGO,1932-07-07,?,?,,
10354,Al resplandor de las estrellas,Roberto FIRPO,Principe Azul,VALS,1932-09-15,?,?,,
10355,Cabaret de cristal,Roberto FIRPO,,TANGO,1932-09-15,?,?,,
10356,Crepusculo serrano,Roberto FIRPO,,TANGO,1932-09-15,?,?,,
10357,Horas de pasion,Roberto FIRPO,Principe Azul,VALS,1932-09-27,?,?,,
10358,Hoy te llaman milonguita,Roberto FIRPO,,TANGO,1932-09-27,?,?,,
10359,Mi rioja,Roberto FIRPO,Principe Azul,ZAMBA,1932-09-27,?,?,,
10360,Que la salve dios,Roberto FIRPO,Principe Azul,TANGO,1932-09-27,?,?,,
10361,Bajos los puentes de Paris,Roberto FIRPO,Carlos Varela,VALS,1933-01-20,?,?,,
10362,El burrito,Roberto FIRPO,,PASODOBLE,1933-01-20,?,?,,
10363,El no de la mascarita,Roberto FIRPO,Carlos Varela,RANCHERA,1933-01-20,?,?,,
10364,Alegre despertar,Roberto FIRPO,Carlos Varela,TANGO,1933-03-13,?,?,,
10365,De aquellos tiempos,Roberto FIRPO,,TANGO,1933-03-13,?,?,,
10366,Muy juntitos,Roberto FIRPO,Carlos Varela,VALS,1933-03-13,?,?,,
10367,Flor de oriente,Roberto FIRPO,,PASODOBLE,1933-03-29,?,?,,
10368,No me mientas,Roberto FIRPO,Carlos Varela,TANGO,1933-03-29,,,,
10369,Vidalita,Roberto FIRPO,Carlos Varela,RANCHERA,1933-04-10,?,?,,
10370,En la lejania,Roberto FIRPO,,VALS,1933-06-09,?,?,,
10371,Vieja iglesia,Roberto FIRPO,Carlos Varela,TANGO,1933-06-09,Ernesto Atilio Rossi,Ernesto Atilio Rossi,,
10372,Mascarada,Roberto FIRPO,Carlos Varela,TANGO,1934-04-16,?,?,,
10373,Noche sevillana,Roberto FIRPO,Carlos Varela,PASODOBLE,1934-04-16,?,?,,
10374,Perfume de azahares,Roberto FIRPO,Carlos Varela,PASODOBLE,1934-05-16,?,?,,
10375,Mi desdicha,Roberto FIRPO,Carlos Varela,TANGO,1934-06-15,?,?,,
10376,Recordando lo pasado,Roberto FIRPO,,VALS,1934-06-15,?,?,,
10377,Yoyita,Roberto FIRPO,Carlos Varela,PASODOBLE,1934-06-15,?,?,,
10378,De mi flor,Roberto FIRPO,,TANGO,1934-07-19,Roberto Firpo,,,
10379,De pura cepa (2),Roberto FIRPO,Carlos Varela,TANGO,1934-08-09,Roberto Firpo,,,
10380,Lucesita de mi vida,Roberto FIRPO,Carlos Varela y Enrique Forte,RANCHERA,1934-08-09,?,?,,
10381,Hasta cuando,Roberto FIRPO,Carlos Varela,RANCHERA,1934-09-20,?,?,,
10382,Recordando tu traición,Roberto FIRPO,Carlos Varela,TANGO,1934-09-20,?,?,,
10383,A media lux,Roberto FIRPO,Carlos Varela,TANGO,1934-10-19,?,?,,
10384,La cucaracha,Roberto FIRPO,Carlos Varela,FOXTROT,1934-10-19,?,?,,
10385,Abrojos (2),Roberto FIRPO,Carlos Varela,RANCHERA,1934-11-15,?,?,,
10386,Coplas y rezos,Roberto FIRPO,Carlos Varela,PASODOBLE,1934-11-15,?,?,,
10387,El adios del boyero,Roberto FIRPO,Carlos Varela,TANGO,1934-12-11,?,?,,
10388,Estampa de macarena,Roberto FIRPO,Carlos Varela,PASODOBLE,1934-12-11,?,?,,
10389,La seguidora,Roberto FIRPO,Carlos Varela,POLCA,1934-12-11,?,?,,
10390,Toda la vida,Roberto FIRPO,Carlos Varela,TANGO,1934-12-11,?,?,,
10391,Buscando millonaria,Roberto FIRPO,Carlos Varela y Enrique Forte,RUMBA,1934-12-17,?,?,,
10392,Mecha,Roberto FIRPO,,VALS,1934-12-17,?,?,,
10393,Telegrama urgente,Roberto FIRPO,Carlos Varela,TANGO,1934-12-17,?,?,,
10394,Cero a cero,Roberto FIRPO,Carlos Varela,TANGO,1935-03-22,Roberto Firpo,Venancio Clauso,,
10395,Dulce perdón,Roberto FIRPO,Carlos Viván,VALS,1935-03-22,?,?,,
10396,La bordadora,Roberto FIRPO,Carlos Varela,TANGO,1935-03-22,Roberto Firpo,Venancio Clauso,,
10397,La tortuguita,Roberto FIRPO,Carlos Varela,RUMBA,1935-03-22,?,?,,
10398,Puente viejo,Roberto FIRPO,Carlos Varela,TANGO,1935-03-22,César Gola y José Gola,César Gola y José Gola,,
10399,Lobo de mar,Roberto FIRPO,Carlos Varela y Carlos Viván,MAXIXE,1935-04-15,?,?,,
10400,Pena gaucha,Roberto FIRPO,Carlos Varela,TANGO,1935-04-15,?,?,,
10401,Ciudad maravillosa,Roberto FIRPO,Carlos Varela,MARCHA,1935-05-13,?,?,,
10402,Matando penas,Roberto FIRPO,Carlos Varela,PASODOBLE,1935-05-13,?,?,,
10403,Quejas,Roberto FIRPO,Carlos Varela,TANGO,1935-05-13,?,?,,
10404,Chiribiribín,Roberto FIRPO,Carlos Varela,VALS,1935-07-24,?,?,,
10405,Fantoches,Roberto FIRPO,Carlos Varela,TANGO,1935-07-24,?,?,,
10406,Olas nocturnas,Roberto FIRPO,,VALS,1935-07-24,?,?,,
10407,Por mi morena,Roberto FIRPO,,PASODOBLE,1935-07-24,?,?,,
10408,Curro en el oro,Roberto FIRPO,,PASODOBLE,1935-07-31,?,?,,
10409,El encuentro,Roberto FIRPO,Carlos Varela,TANGO,1935-07-31,?,?,,
10410,En la brecha,Roberto FIRPO,,TANGO,1935-07-31,?,?,,
10411,Cuando el amor muere (2),Roberto FIRPO,,VALS,1935-10-04,?,?,,
10412,La carcajada,Roberto FIRPO,,TANGO,1935-10-04,?,?,,
10413,Las carreras,Roberto FIRPO,,TANGO,1935-12-27,?,?,,
10414,Tu clavel,Roberto FIRPO,Carlos Varela,PASODOBLE,1935-12-27,?,?,,
10415,Alzame en tus brazos,Roberto FIRPO,Carlos Varela,VALS,1936-03-14,Héctor Cruz,Mario Battistella,,
10416,Bravo porteño,Roberto FIRPO,Carlos Varela,TANGO,1936-03-14,Roberto Firpo,José Fernández,,
10417,De madrugada,Roberto FIRPO,Carlos Varela,TANGO,1936-03-14,?,?,,
10418,Hilacha,Roberto FIRPO,Carlos Varela,TANGO,1936-03-14,?,?,,
10419,Atardecer campero,Roberto FIRPO,,VALS,1936-06-05,?,?,,
10420,La despedida,Roberto FIRPO,,TANGO,1936-06-05,Roberto Firpo,,,
10421,Tierra de ensueño,Roberto FIRPO,,PASODOBLE,1936-06-05,?,?,,
10422,Loco lindo,Roberto FIRPO,,TANGO,1936-07-18,Carlos Di Sarli,Conrado Nalé Roxlo,,
10423,Manzanilla,Roberto FIRPO,Carlos Varela,PASODOBLE,1936-07-18,?,?,,
10424,Arrepentido,Roberto FIRPO,Carlos Varela,TANGO,1936-09-18,Rodolfo Sciammarella,Rodolfo Sciammarella,,
10425,Barreras de amor,Roberto FIRPO,Carlos Varela,VALS,1936-09-18,?,?,,
10426,Damisela encantadora,Roberto FIRPO,coro,VALS,1936-10-19,Ernesto Lecuona,Ernesto Lecuona,,
10427,Homero,Roberto FIRPO,,TANGO,1936-10-19,Roberto Firpo,,,
10428,El tiempo es oro,Roberto FIRPO,,MARCHA,1936-12-02,?,?,,
10429,Medallita de la suerte,Roberto FIRPO,Carlos Varela,TANGO,1936-12-02,Carlos Gardel y José Razzano,Mario Battistella,,
10430,El aeroplano,Cuarteto Típico Roberto FIRPO,,VALS,1936-12-19,Pedro Datta,,,
10431,El llorón,Cuarteto Típico Roberto FIRPO,,TANGO MILONGA,1936-12-19,Juan Maglio,Enrique Cadícamo,,
10432,La rosarina,Cuarteto Típico Roberto FIRPO,,TANGO,1936-12-19,Ricardo González,,,
10433,La trilla,Cuarteto Típico Roberto FIRPO,,TANGO,1936-12-19,Eduardo Arolas,,,
10434,Noche calurosa,Cuarteto Típico Roberto FIRPO,,VALS,1936-12-19,Roberto Firpo,,,
10435,La canción del cabaret (Mala),Roberto FIRPO,,TANGO,1936-12-23,Roberto Firpo,Mario Flores,,
10436,Para vigo me voy,Roberto FIRPO,Carlos Varela,CONGA,1936-12-23,?,?,,
10437,Gracia española,Roberto FIRPO,Coro,PASODOBLE,1937-02-15,?,?,,
10438,La murra,Roberto FIRPO,,TANGO,1937-02-15,Roberto Firpo,,,
10439,Dicha y dolor,Roberto FIRPO,Carlos Varela,VALS,1937-03-26,?,?,,
10440,No me importa,Roberto FIRPO,Carlos Varela,TANGO,1937-03-26,?,?,,
10441,Triste domingo,Roberto FIRPO,Carlos Varela,VALS,1937-03-26,Rezsö Seress,Francisco Gorrindo,,
10442,Vea vea,Roberto FIRPO,,TANGO,1937-03-26,Roberto Firpo,,,
10443,El apronte,Cuarteto Típico Roberto FIRPO,,TANGO,1937-03-27,Roberto Firpo,,,
10444,Palida sombra,Cuarteto Típico Roberto FIRPO,,VALS,1937-03-27,?,?,,
10445,Rodriguez Peña,Cuarteto Típico Roberto FIRPO,,TANGO,1937-03-27,Vicente Greco,Juan Velich,,
10446,Felicia,Cuarteto Típico Roberto FIRPO,,TANGO,1937-04-20,Enrique Saborido,Carlos Mauricio Pacheco,,
10447,Don Enrique,Cuarteto Típico Roberto FIRPO,,TANGO,1937-05-21,?,?,,
10448,Didí,Roberto FIRPO,,TANGO,1937-06-11,Roberto Firpo,,,
10449,Entre los ceibos,Roberto FIRPO,,VALS,1937-06-11,?,?,,
10450,No quiero verte llorar,Roberto FIRPO,Carlos Varela,TANGO,1937-06-11,Agustín Magaldi,Rodolfo Sciammarella,,
10451,Noche de ronda,Roberto FIRPO,Carlos Varela,VALS,1937-06-11,María Teresa Lara,María Teresa Lara,,
10452,La cumparsita,Cuarteto Típico Roberto FIRPO,,TANGO,1937-07-04,Gerardo Matos Rodriguez,Pascual Contursi y Enrique Maroni,,
10453,Matasano,Cuarteto Típico Roberto FIRPO,,TANGO,1937-07-04,Francisco Canaro,Pascual Contursi,,
10454,Presentimiento,Cuarteto Típico Roberto FIRPO,,VALS,1937-07-04,Roberto Firpo,,,
10455,El compinche,Roberto FIRPO,,TANGO,1937-12-06,Roberto Firpo,,,
10456,Niñas de Viena,Roberto FIRPO,,VALS,1937-12-06,?,?,,
10457,Siempre cariñosa,Roberto FIRPO,,POLCA,1937-12-06,?,?,,
10458,Tierra negra,Roberto FIRPO,,TANGO,1937-12-06,Juan Noli y Graciano De Leone,Francisco Bastardi,,
10459,Tus ojos me embelesan,Cuarteto Típico Roberto FIRPO,,VALS,1937-12-23,Gerardo Metallo,,,
10460,Curda completa,Roberto FIRPO,,TANGO,1937-12-28,Roberto Firpo,,,
10461,El amanecer,Roberto FIRPO,,TANGO,1938-01-04,Roberto Firpo,,,
10462,Fuegos artificiales,Roberto FIRPO,,TANGO,1938-01-04,Roberto Firpo y Eduardo Arolas,,,
10463,El horizonte,Cuarteto Típico Roberto FIRPO,,TANGO,1938-05-23,Roberto Firpo,,,
10464,Milonga del 38,Cuarteto Típico Roberto FIRPO,,MILONGA,1938-05-23,Roberto Firpo,,,
10465,El internado,Cuarteto Típico Roberto FIRPO,,TANGO,1938-07-15,Francisco Canaro,,,
10466,La morocha,Cuarteto Típico Roberto FIRPO,,TANGO,1938-07-22,Enrique Saborido,Angel Villoldo,,
10467,El tentador,Roberto FIRPO,,PASODOBLE,1938-08-25,?,?,,
10468,En el desierto,Roberto FIRPO,,VALS,1938-08-25,?,?,,
10469,Indio sacale el pelo,Roberto FIRPO,,TANGO,1938-08-25,?,?,,
10470,Volver a querer,Roberto FIRPO,Carlos Varela,TANGO,1938-08-25,Germán Teisseire,Nolo López,,
10471,Flor de suburbio,Cuarteto Típico Roberto FIRPO,,MILONGA,1939-02-02,?,?,,
