,Title,Vocalist(s),Instrumentalist(s),Year,Mo,Da,Genre
28783,Malvón,-,,,,,tango
28784,Mamá yo quiero un novio,-,José Basso,,,,tango
28785,"Mamá, cuco",-,Osvaldo Fresedo,1927,09,13,tango
28786,"Mamá, yo quiero un novio",-,Florindo Sassone,1968,05,21,tango
28787,"Mamá, yo quiero un novio",-,Fulvio Salamanca,,,,tango
28788,Mama... Cuco!..,-,Francisco Canaro,1927,04,21,tango
28789,Mamarracho,-,Roberto Firpo,1928,08,28,tango
28790,Mamita,-,Francisco Lomuto,1929,03,08,tango
28791,"Mamita, perdón",-,Edgardo Donato,,,,tango
28792,Mañana zarpa un barco,-,Lucio Demare,,,,tango
28793,Mañana zarpa un barco,-,Lucio Demare,,,,tango
28794,Mañana zarpa un barco,-,Lucio Demare,1968,07,30,tango
28795,Mañana zarpa un barco / Dandy,-,Lucio Demare,1952,01,18,tango
28796,Mañanita de Montmartre,-,Osvaldo Fresedo,1928,07,03,tango
28797,Mañanitas de Montmartre,-,Aníbal Troilo,1970,04,14,tango
28798,Mañanitas de Montmartre,-,Francisco Canaro,1928,02,13,tango
28800,Mañanitas de Montmartre,-,Lucio Demare,,,,tango
28801,Mañanitas de Montmartre,-,Lucio Demare,,,,tango
28802,Mañanitas de Montmartre,-,Lucio Demare,1968,07,30,tango
28803,Mañanitas de Montmartre,-,Trío Argentino,,,,tango
28804,Mañanitas de Montmartre (Mañanita de Montmartre),-,Trío Argentino,,,,tango
28805,Manantial,-,Edgardo Donato,1956,10,02,tango
28806,Manantial,-,Osvaldo Fresedo,,,,tango
28807,Mancha negra,-,Juan Carlos Cobián,,,,tango
28808,Mandinga,-,Antonio Bonavena,,,,tango
28809,Mandría,-,Osvaldo Fresedo,1927,05,10,tango
28810,Mandria,-,Roberto Firpo,1927,03,25,tango
28811,"Mangia, mangia, papirusa",-,Roberto Firpo,,,,tango
28812,Mano a mano,-,Ciriaco Ortiz,,,,tango
28813,Mano a mano,-,Francisco Canaro,1927,10,19,tango
28814,Mano a mano,-,Ciriaco Ortiz,1933,10,03,tango
28815,Mano a mano,-,Hugo Díaz,,,,tango
28816,Mano a mano,-,"Hugo Díaz, José Colángelo, Omar José Murtagh",,,,tango
28817,Mano a mano,-,Héctor Varela,1968,05,15,tango
28818,Mano a mano,-,Orquesta Típica Corrientes,,,,tango
28819,Mano brava,-,Aníbal Troilo,,,,milonga
28820,Mano brava,-,Horacio Salgán,,,,milonga
28821,Mano brava,-,Juan Canaro,1938,05,13,tango
28822,Mano brava,-,Roberto Firpo,,,,tango
28823,Mano brava,-,Trio Pantango,,,,tango
28824,Mano brava,-,"Quinteto Pirincho, dir. Francisco Canaro",,,,tango
28826,Mano brava,-,"Quinteto Pirincho, dir. Francisco Canaro",1940,11,22,tango
28827,Mano brava,-,"Quinteto Pirincho, dir. Francisco Canaro",1956,04,24,tango
28828,Mano brava,-,Ensemble Hyperion,,,,milonga
28829,Mano brava,-,Solo Tango orquesta,,,,milonga
28831,Mano larga,-,Osvaldo Fresedo,,,,tango
28832,Mano santa,-,Manuel Pizarro,,,,tango
28833,Manola,-,,,,,tango
28834,Manón,-,Pedro Maffia,,,,vals
28835,Manos brujas,-,Trío Yumba,,,,tango
28836,Manos de seda,-,Roberto Firpo,1930,05,15,tango
28838,Manzanita,-,Osvaldo Fresedo,,,,tango
28839,Máquina tanguera,-,,,,,tango
28840,Mar de fondo,-,Francisco Lomuto,1931,12,22,tango
28841,Mar del Plata,-,Juan Bautista Guido,1927,05,03,tango
28842,Marala,-,Marek Weber,1925,10,20,tango
28843,Marcelo,-,Francisco Canaro,1927,03,30,tango
28844,Marchéta (Marquitta),-,Rodolfo Biagi,1941,12,03,vals
28845,Marcheta | Marquita,-,Agesilao Ferrazzano,1927,02,23,vals
28846,Marea baja,-,Francisco Canaro,,,,tango
28847,Marejada,-,Carlos Di Sarli,1941,07,16,tango
28848,Marejada,-,Florindo Sassone,1953,01,15,tango
28849,Marejada,-,Francisco Rotundo,1950,07,06,tango
28850,Marejada,-,Osvaldo Pugliese,,,,tango
28851,Marejada,-,Roberto Firpo,,,,tango
28852,Marejada,-,Roberto Firpo,1932,03,10,tango
28853,Marejada,-,Orquesta Típica Victor,1937,01,12,tango
28855,Margarita,-,"Quinteto Pirincho, dir. Francisco Canaro",1950,12,06,polca
28856,Margarita de agosto,-,Leopoldo Federico,,,,tango
28857,Margarita de agosto,-,Raúl Miguel Garello,,,,tango
28858,Margarita Gauthier,-,Astor Piazzolla,,,,tango
28859,Margarita Gauthier,-,Leopoldo Federico,,,,tango
28860,Margarita Gauthier,-,,,,,tango
28861,Margarita Gauthier,-,,,,,tango
28862,Margarita Gauthier,-,,1957,03,18,tango
28863,Margarita silvestre,-,Francisco Canaro,1929,07,24,ranchera
28864,Margaritas,-,Juan Félix Maglio,1929,10,04,tango
28865,Marginal Milonga,-,Luis Borda,,,,tango
28866,Margot,-,Juan Félix Maglio,,,,tango
28867,Margot,-,Roberto Firpo,,,,tango instrumental
28868,María,-,Francisco Canaro,,,,vals criollo
28870,María,-,Francisco Canaro,1927,09,19,vals
28871,María,-,Conjunto Los cosos de al lao,,,,tango
28872,María,-,Quartango,,,,tango
28873,María Angélica,-,Adolfo Pérez,1934,10,20,tango
28874,María Barriento,-,,,,,tango
28875,María Cristina,-,Orquesta Típica Victor,1926,12,06,tango
28876,María del Carmen,-,Orquesta Típica Victor,1936,05,08,paso doble
28877,Maria del Parana,-,Los Indios Tacunao,,,,canción
28878,María Esther,-,José Servidio,,,,vals
28879,María Esther,-,"Quinteto Pirincho, dir. Francisco Canaro",1943,08,26,vals
28880,María Luisa,-,Francisco Canaro,1929,11,27,vals
28881,María Luisa,-,,,,,?
28882,Marianito,-,Carlos Di Sarli,,,,tango
28883,Marianito,-,Carlos Di Sarli,1941,05,20,tango
28884,Marianito,-,Carlos Di Sarli,1952,12,12,tango
28885,Marianito,-,Francisco Canaro,1929,07,17,tango
28886,Marianito,-,Miguel Villasboas,,,,tango
28887,Marianito,-,Ricardo Pedevilla,1950,12,27,tango
28888,Marianito,-,"Quinteto Don Pancho, dir. Francisco Canaro",1938,04,21,tango
28889,Marianito,-,"Quinteto Pirincho, dir. Francisco Canaro",,,,tango
28890,Marianito,-,"Quinteto Pirincho, dir. Francisco Canaro",1957,01,31,tango
28891,Maridito mio,-,Roberto Firpo,,,,tango
28892,Marina,-,Juan Bautista Guido,1928,12,19,vals
28893,Marina,-,Miguel Caló,,,,tango
28894,Marinerito,-,Francisco Canaro,1927,01,19,tango
28895,Marinero,-,Francisco Canaro,1929,07,24,fox trot
28896,Marino mío,-,Orquesta Típica Victor,1938,08,02,paso doble
28897,Mario,-,Osvaldo Fresedo,,,,tango
28898,Mariposa,-,Francisco Canaro,1927,12,09,tango
28899,Mariposa,-,Francisco Lomuto,1927,04,30,tango
28900,Mariposa,-,Manuel Pizarro,,,,tango
28901,Mariposa azul,-,Roberto Firpo,,,,tango
28902,Mariposa azul,-,Roberto Firpo,1948,08,13,vals
28903,Mariposita,-,Franco Luciani,,,,tango
28904,Mariposita,-,Francisco Rotundo,1950,08,18,tango
28905,Mariposita,-,Fulvio Salamanca,,,,tango
28906,Mariposita,-,Gabriel Clausi,,,,tango
28907,Mariposita,-,Osvaldo Fresedo,,,,
28908,Mariposita,-,Osvaldo Fresedo,1941,06,19,tango
28909,Mariposita,-,Ricardo Tanturi,1947,03,28,tango
28910,Mariposita,-,Los Astros del Tango,,,,tango
28911,Mariposita,-,Otros Aires,,,,electro
28912,Mariquita,-,Roberto Firpo,1929,06,08,tango
28913,Mariquita (l'aspamentosa),-,Roberto Firpo,1929,06,08,tango
28914,Mariquita (l'espamentosa),-,Roberto Firpo,1929,06,08,tango
28915,Maroma,-,,,,,electro
28916,Marquesita,-,Osvaldo Fresedo,1927,12,22,tango
28917,Marrón glacé,-,Eduardo Arolas,1917,04,26,tango
28918,Marrón y azul,-,Astor Piazzolla,,,,tango
28919,Marrón y azul,-,Astor Piazzolla,,,,tango
28920,Marrón y azul,-,Astor Piazzolla,,,,tango
28921,Marrón y azul,-,Astor Piazzolla,1956,08,09,tango
28922,Marrón y azul,-,,,,,tango
28923,Marrón y azul,-,Osvaldo Pugliese,1956,12,26,tango
28924,Marrón y azul,-,Quinteto Ángel,2012,07,10,tango
28925,Marrón y azul,-,Octeto Buenos Aires,,,,tango
28926,Marrón y azul,-,Octeto Buenos Aires,,,,tango
28927,Martín,-,Cuarteto típico Los ases,1942,12,10,tango
28928,Martinez,-,Roberto Firpo,,,,tango
28929,Martirios del alma,-,Roberto Firpo,1929,05,02,vals
28930,Maruja,-,Antonio Bonavena,,,,paso doble
28931,Mary,-,Julio De Caro,,,,tango
28932,Mary,-,Julio De Caro,1926,04,12,tango
28933,Mary Lou,-,Francisco Lomuto,1927,05,10,fox trot
28934,Más allá bandoneón,-,Aníbal Troilo,1967,08,10,tango
28935,Más allá bandoneón,-,"Ernesto Baffa, Osvaldo Berlingieri",,,,?
28936,Mas alla del Sur,-,Tanghetto,,,,electro
28937,Mas de lo mismo,-,Tanghetto,,,,electro
28938,Más grande que nunca,-,Juan D'Arienzo,1958,12,23,tango
28939,Más vale sólo,-,Pedro Maffia,,,,tango
28940,"Más, más y siempre más",-,Francisco Lomuto,1939,08,29,one step
28941,Mascotita de marfil,-,Juan Félix Maglio,1929,09,16,vals
28942,Matala,-,Juan Félix Maglio,1930,05,20,tango
28943,Matasano,-,Enrique Mora,1951,10,01,tango
28944,Matasano,-,Miguel Villasboas,,,,tango
28946,Matasano,-,Roberto Firpo,,,,tango
28947,Matasano,-,Roberto Firpo,,,,tango
28948,Matasano,-,Roberto Firpo,1937,07,04,tango
28949,Matasano,-,"Quinteto Criollo Atlana, dir. Astor Bolognini",,,,tango
28950,Matasano,-,"Quinteto Don Pancho, dir. Francisco Canaro",1939,05,08,tango
28951,Matasano,-,"Quinteto Pirincho, dir. Francisco Canaro",1951,12,12,tango
28952,Mate amargo,-,Francisco Canaro,1938,06,20,tango
28953,Mate amargo,-,Miguel Villasboas,,,,tango
28954,Matiné del domingo,,Héctor Varela,,,,tango
28955,Matinee de tango (Matinee del domingo),-,Héctor Varela,,,,tango
28956,Matizando,-,,1955,11,14,tango
28957,Mato y voy,-,Osvaldo Pugliese,1978,12,20,tango
28958,Matón,-,Francisco Canaro,1927,06,09,tango
28959,Matraca,-,Fulvio Salamanca,,,,tango
28960,Matraca,-,Fulvio Salamanca,1959,01,28,tango
28961,Matraca,-,Fulvio Salamanca,,,,tango
28962,Matraca,-,Osvaldo Pugliese,1987,04,25,tango
28963,Maula,-,Julio De Caro,1927,03,21,tango
28964,Máxima,-,Sexteto Canyengue,,,,tango
28965,Maypa,-,Color Tango,,,,vals
28966,Maypa,-,Color Tango,,,,vals
28967,Mburucuya,-,Roberto Firpo,1927,10,13,tango
28968,Me contaron,-,Roberto Firpo,1926,12,30,tango
28969,Me da pena confesarlo,-,Juanjo Domínguez,,,,tango
28970,Me debes perdonar,-,Adolfo Rosquella/ Adolfo Rosquellas,,,,tango
28971,Me duele el alma,-,Francisco Canaro,1929,09,25,vals
28972,Me elevo a las nubes,-,Juan Bautista Guido,1929,09,29,tango
28973,Me enamoré una vez,-,Quinteto Pirincho,,,,ranchera
28974,Me encontre una herradura,-,Adolfo Carabelli,1928,12,27,fox trot
28975,Me entendes lo qué digo?,-,,,,,?
28976,Me gusta bailar milonga,-,Miguel Villasboas,,,,milonga
28978,Me gustan todas en general,Luis Díaz,Orquesta Típica Victor,1932,11,29,ranchera
28979,Me has herido,-,Juan Bautista Guido,1928,12,19,tango
28980,Me río de la plata,-,,,,,tango
28981,Me vuelves loco,-,Francisco Canaro,1932,01,12,fox trot
28982,Mecha,-,,,,,tango
28983,Mecha,-,Roberto Firpo,1934,12,17,vals
28984,Mechita,-,Francisco Canaro,1929,04,30,fox trot
28986,Meco,-,Osvaldo Fresedo,,,,tango
28987,Medallita de las pobres (Virgencita de Pompeya),-,Roberto Firpo,1929,11,28,tango
28988,Medallita de los pobres (Virgencita de Pompeya),-,Roberto Firpo,1929,11,28,tango
28989,Media noche,-,Francisco Lomuto,,,,tango
28990,Media noche,-,Francisco Lomuto,1929,08,17,tango
28991,Media noche,-,Francisco Lomuto,1929,09,17,tango
28992,Media noche,-,,,,,tango
28993,Media noche,-,Osvaldo Fresedo,1927,08,25,tango
28994,Media persona,-,Tanghetto,,,,electro
28995,Medias de seda,-,Jorge Caldara,1959,02,25,tango
28996,Medias de seda,-,José Bohr,,,,tango
28997,Medio día,-,Julio De Caro,1928,04,30,tango
28998,Medio día (Mediodía),-,Julio De Caro,1928,04,30,tango
28999,Medio y medio,-,Juan Bautista Guido,1928,03,26,tango
29000,Meditango,-,,,,,tango
29001,Mejilla a mejilla,-,Orquesta Típica Victor,1937,04,08,fox trot
29002,Mejor así,-,Carlos Libedinsky,,,,electro
29003,Melancólico,-,Aníbal Troilo,,,,tango
29004,Melancólico,-,Aníbal Troilo,1961,08,01,tango
29005,Melancólico,-,Aníbal Troilo,1961,08,18,tango
29006,Melancólico,-,Aníbal Troilo,1963,04,25,tango
29007,Melancólico,-,Atilio Stampone,,,,?
29008,Melancolico,-,Osvaldo Piro,,,,
29009,Melancólico,-,,,,,tango
29010,Melancólico,-,Color Tango,,,,tango
29011,Melancólico,-,Quartango,,,,tango
29012,Melancólico Buenos Aires,-,Astor Piazzolla,,,,tango
29014,Melancólico Buenos Aires,-,Orquesta Escuela de tango,,,,tango
29016,Melenita,-,Osvaldo Fresedo,,,,tango
29017,Melenita de oro,-,Carlos Vicente Geroni Flores,,,,tango
29018,Melenita de oro,-,Carlos Vicente Geroni Flores,,,,tango
29019,Melenita de oro,-,"Ciriaco Ortiz, Ubaldo Aquiles De Lio",,,,tango
29020,Melgarejo,-,Típica Select,1920,08,26,tango argentino
29021,Melodía de arrabal,-,Hugo Díaz,,,,tango
29022,Melodía de arrabal,-,"Hugo Díaz, José Colángelo, Omar José Murtagh",,,,tango
29023,Melodía de arrabal,-,Osvaldo Pugliese,1989,06,26,tango
29024,Melodía de arrabal,-unspecified male-,Trio Pantango,,,,tango
29025,Melodía larga,-,Juanjo Domínguez,,,,?
29026,Melodía oriental,-,Héctor Varela,1964,06,04,tango
29027,Melodía oriental,-,,,,,tango
29028,Melodía porteña,-,Juan D'Arienzo,1937,12,21,tango
29029,Melodía simple,-,Osvaldo Fresedo,1980,06,27,tango
29030,Memorias,-,Domingo Federico,1947,04,18,tango
29031,Memorias,-,Beba Pugliese,,,,tango
29032,Memorias y olvidos,-,Rodolfo Mederos,,,,tango
29033,Mendelssohn,-,Trio Neuklang,,,,
29034,Meneca,-,Osvaldo Fresedo,1927,07,19,tango
29035,Menina de ouro,-,"Edgardo Donato, Roberto Zerrillo",,,,maxixa
29036,Mensaje de amor,-,Roberto Firpo,1929,06,08,tango
29037,Mentaberry,-,Roberto Firpo,,,,tango
29038,Mente frágil,-,Tanghetto,,,,electro
29039,Mentías,-,Juan D'Arienzo,1937,04,01,vals
29040,Mentías,-,Roberto Firpo,1927,10,20,tango
29041,Mentira,-,Orquesta Típica Corrientes,,,,tango
29042,Mentiras de amor,-,Julio De Caro,,,,tango
29043,Mentiras de amor (Mentiras de mujer),-,Julio De Caro,,,,tango
29044,Meridional,-,Color Tango,,,,tango
29045,Merza burrera,-,Francisco Canaro,1932,05,13,tango
29046,Meterete,-,Francisco Canaro,1929,10,02,tango
29047,Meterete,-,Francisco Lomuto,,,,tango
29048,Mexican serenade,-,Barnabás von Géczy,1935,10,15,tango
29049,México,-,,,,,?
29050,Mi adiós a Roberto Bustamante,-,,,,,requiem
29051,Mi ambición,-,Roberto Firpo,1927,02,27,vals
29052,Mi amigo Cholo,-,Atilio Stampone,,,,tango
29053,Mi amigo Cholo,-,Color Tango,,,,tango
29054,Mi Angelina,-,Orquesta Típica Victor,1929,06,17,vals
29055,Mi Angelina (My Angeline),-,Orquesta Típica Victor,1929,06,17,vals
29056,Mi Buenos Aires,-,Francisco Canaro,1938,10,07,milonga
29057,Mi Buenos Aires,-,Roberto Firpo,1928,05,28,tango
29058,Mi Buenos Aires,-,Roberto Firpo,1928,05,31,tango
29059,Mi Buenos Aires queri...,-,Carlos Libedinsky,,,,electro
29060,Mi Buenos Aires querido,-,Carlos García,,,,tango
29061,Mi Buenos Aires querido,-,,,,,electro
29062,Mi Buenos Aires querido,-,Giora Feidman,,,,tango
29063,Mi Buenos Aires querido,,,,,,tango
29064,Mi Buenos Aires querido,-,Hugo Díaz,,,,tango
29065,Mi Buenos Aires querido,-,"Hugo Díaz, José Colángelo, Omar José Murtagh",,,,tango
29066,Mi Buenos Aires querido,-,,,,,tango
29067,Mi Buenos Aires querido,-,Osvaldo Fresedo,1966,04,15,tango
29068,Mi Buenos Aires querido,-,Héctor Varela,1968,03,22,tango
29069,Mi Buenos Aires querido,-,QuinTango,,,,tango
29070,Mi Buenos Aires querido - Payadora,-,,,,,tango
29071,Mi Buenos Aires querido - Payadora,-,,,,,tango
29072,Mi caballo Jerezano,-,Orquesta Típica Victor,1936,12,31,paso doble
29073,Mi canción distinta,-,Carlos García,,,,tango
29074,Mi capitán,-,,,,,?
29075,Mi cariño,-,Francisco Canaro,,,,vals
29076,Mi casita malagueña,-,Orquesta Típica Victor,1938,10,06,paso doble
29078,Mi churrasca,-,Julio De Caro,,,,tango
29079,Mi churrasca,-,Julio De Caro,1930,01,08,tango
29080,Mi comadre la serapia,-,Orquesta Típica Victor,1931,07,14,polca
29081,Mi compañera,-,Trío Argentino,,,,tango
29082,Mi coqueta,-,"Quinteto Pirincho, dir. Francisco Canaro",1960,08,15,vals
29083,Mi corazón,-,Francisco Canaro,1930,05,06,maxixa
29084,Mi corazón es tu morada,-,Roberto Firpo,1927,01,13,fox trot
29085,Mi corazón es un violín,-,Florindo Sassone,,,,tango
29086,Mi corazón es un violín,-,Héctor Varela,1956,03,13,tango
29087,Mi corazón es un violín,-,Héctor Varela,,,,tango
29088,Mi corazón te pertenece,-,,1941,11,14,vals
29089,Mi coronel,-,Francisco Canaro,1927,11,09,tango
29090,Mi cotorrito bohemio,-,Francisco Lomuto,,,,tango
29091,Mi credo,-,,1934,12,18,tango
29092,Mi criollita (Mi criolla),-,Osvaldo Fresedo,,,,tango
29093,Mi diosa,-,Alfredo De Angelis,,,,tango
29094,Mi diosa,-,Roberto Firpo,,,,tango
29095,Mi doctor,-,Francisco Canaro,1928,10,31,tango
29096,Mi dolor,-,Alfredo De Angelis,1957,05,23,tango
29097,Mi dolor,-,Anibal Arias,,,,tango
29098,Mi dolor,-,Fulvio Salamanca,,,,tango
29099,Mi dolor,-,Manuel Pizarro,,,,tango
29100,Mi dolor,-,Héctor Varela,1953,06,16,tango
29101,Mi dolor,-,Los Solistas de D'Arienzo,,,,tango
29102,Mi dolor,-,Los siete del tango,1966,11,03,tango
29103,Mi estrella,-,Francisco Canaro,,,,tango
29104,Mi estrella azul,-,Carlos García,,,,?
29105,Mi flor,-,Los muchachos de antes,,,,vals
29106,Mi fuelle rezonga,-,Osvaldo Pugliese,1954,12,13,tango
29107,Mi lamento,-,Osvaldo Pugliese,1954,03,17,tango
29108,Mi lejana Buenos Aires,-,Fulvio Salamanca,,,,tango
29109,Mi lejana Buenos Aires,-,Osvaldo Pugliese,,,,tango
29110,Mi madre querida,-,,,,,tango
29111,Mi maga,-,Osvaldo Fresedo,,,,tango
29112,Mi monona,-,Juan Félix Maglio,,,,tango
29113,Mi nena,-,Roberto Firpo,,,,tango
29114,Mi noche alegre,-,Francisco Canaro,,,,tango
29115,Mi noche triste,-,Astor Piazzolla,,,,tango
29116,Mi noche triste,-,Florindo Sassone,1970,04,28,tango
29117,Mi noche triste,-,Ciriaco Ortiz,,,,tango
29118,Mi noche triste,-,Hugo Díaz,,,,tango
29119,Mi noche triste,-,Osvaldo Pugliese,1979,12,27,tango
29120,Mi noche triste,-,Roberto Firpo,1952,06,18,tango
29121,Mi noche triste,-,Cuarteto típico Los ases,1941,03,21,tango
29122,Mi noche triste,-,Cuarteto Troilo-Grela,1962,08,21,tango
29123,Mi noche triste,-,Orquesta Cuerdas Latinas,,,,tango
29124,Mi noche triste,-,Conjunto Los cosos de al lao,,,,tango
29125,Mi noche triste,-,Puro Apronte,,,,tango
29126,Mi pampa,-,Mario Melfi,,,,tango
29127,Mi papito,-,Orquesta Típica Victor,1928,06,15,tango
29128,Mi parejero,-,Juan D'Arienzo,1953,09,18,tango
29129,Mi pebeta,-,Miguel Villasboas,,,,tango milonga
29130,Mi pebeta | Mi nena,-,Roberto Firpo,1946,12,16,tango
29131,Mi pena,-,,,,,tango
29132,Mi perdición,-,Genaro Espósito,,,,tango
29133,Mi pibe,-,Francisco Lomuto,1929,07,19,tango
29134,Mi pibe,-,Carlos Di Sarli,1929,08,14,tango
29136,Mi queja,-,Juan Félix Maglio,1932,05,10,tango
29137,Mi queja,-,Julio De Caro,,,,tango
29138,Mi querer,-,Osvaldo Fresedo,,,,tango
29139,Mi querer,-,Osvaldo Fresedo,,,,tango
29140,Mi querido Agustín,-,Francisco Canaro,,,,fox trot
29141,Mi querido Agustín,-,Roberto Firpo,,,,fox trot
29142,Mi ranchito,-,Julio De Caro,1927,09,13,tango
29143,Mi refugio,-,Alfredo De Angelis,,,,tango
29144,Mi refugio,-,Aníbal Troilo,1970,12,28,tango
29145,Mi refugio,-,Atilio Stampone,,,,tango
29146,Mi refugio,-,Carlos Di Sarli,,,,tango
29147,Mi refugio,-,Carlos Di Sarli,1941,04,18,tango
29148,Mi refugio,-,Carlos Di Sarli,1952,10,27,tango
29149,Mi refugio,-,"Ernesto Baffa, Osvaldo Berlingieri",,,,tango
29150,Mi refugio,-,Fulvio Salamanca,,,,tango
29151,Mi refugio,-,Horacio Salgán,,,,tango
29152,Mi refugio,-,Horacio Salgán,1950,06,21,tango
29153,Mi refugio,-,Osvaldo Fresedo,,,,tango
29154,Mi refugio,-,Osvaldo Fresedo,1922,05,24,tango
29155,Mi refugio,-,Osvaldo Fresedo,1979,11,06,tango
29156,Mi refugio,-,,,,,tango
29157,Mi refugio,-,Cuarteto Troilo-Grela,,,,tango
29158,Mi refugio,-,Octeto Buenos Aires,,,,tango
29159,Mi refugio,-,Orquesta Típica Corrientes,,,,tango
29160,Mi refugio,-,Los Astros del Tango,,,,tango
29161,Mi reliquia,-,Osvaldo Fresedo,,,,tango
29162,Mi secreto,-,Francisco Pracánico,,,,tango
29163,Mi sueño dorado,-,Edgardo Donato,,,,tango
29164,Mi tango triste,-,Conjunto Los cosos de al lao,,,,tango
29165,Mi tentación,-,Astor Piazzolla,,,,tango
29166,Mi tormento,-,Julio De Caro,,,,tango
29167,Mi tormento (Torta frita),-,Julio De Caro,,,,tango
29168,Mi único cariño,-,Francisco Canaro,1930,12,03,tango
29169,Mi viejo dolor,-,,,,,tango
29170,Mi viejo dolor,-,,,,,?
29171,Mi viejo Montevideo,-,Juan D'Arienzo,1961,06,13,tango
29172,Mi viejo ranchito,-,Roberto Firpo,1929,11,28,tango
29173,Mi viejo reloj,-,Aníbal Troilo,1963,06,11,tango
29174,Mi viejo reloj,-,Aníbal Troilo,1965,01,07,tango
29175,Mi viejo reloj,-,Osvaldo Fresedo,1950,10,25,tango
29176,Mi viejo reloj,-,Osvaldo Fresedo,1980,07,04,tango
29177,Mi viejo y yo,-,Héctor Varela,,,,tango
29178,Mi virgencita,-,Juan Félix Maglio,1927,08,25,tango
29179,Mi Yerutí,-,Los Indios Tacunao,,,,valseado
29180,Mía,-,Julio De Caro,1927,03,21,tango
29181,Mía fuiste,-,Francisco Canaro,1927,08,22,tango
29182,Michelangelo,-,,,,,tango
29183,Michelangelo '70,-,,,,,?
29184,Michelangelo '70,-,Astor Piazzolla,,,,tango
29185,Michelangelo 70,-,,,,,techno tango
29186,Michelangelo 70,-,,,,,tango
29187,Michelangelo 70,-,,,,,tango
29188,Michelangelo 70,-,TRioPlatense,,,,tango
29189,Michelangelo 70,-,Ensemble Hyperion,,,,tango
29190,Michelangelo 70 (no Drums),-,,,,,techno tango
29191,Michelle,-,,,,,tango
29192,Michelú,-,Luis Petrucelli,1930,06,06,tango
29193,Micifuz,-,Osvaldo Fresedo,1927,06,08,tango
29194,Micifuz,-,Roberto Firpo,1927,06,09,tango
29195,Midnight express,-,Ensemble Hyperion,,,,tango
29196,Miedo,-,Astor Piazzolla,,,,tango
29197,Miedo,-,Astor Piazzolla,,,,tango
29198,Miedo a vivir,-,Tanghetto,,,,electro
29199,Miente,-,Roberto Firpo,1929,05,08,tango
29200,Miguelito,-,Roberto Firpo,1929,03,11,tango
29201,Miguelito,-,Roberto Firpo,1929,04,11,tango
29203,Mil vías,-,,,,,?
29204,Milagrosa virgencita,-,Luis Petrucelli,1929,06,19,tango
29205,Miles,-,,,,,techno tango
29206,Milonga arrabalera | Abran cancha,-,Héctor Varela,1955,03,29,milonga
29207,Milonga brava,-,Muzet Royal,,,,milonga
29208,Milonga canyengue,-,Francisco Canaro,1930,03,05,tango
29209,Milonga celtica,-,Quartango,,,,milonga
29210,Milonga clásica,-,Francisco Canaro,1940,04,18,milonga
29211,Milonga con variación,-,Eduardo Del Piano,1951,12,05,tango
29212,Milonga con variación,-,Francisco Canaro,1927,05,13,tango
29213,Milonga con variación,-,Juan Sánchez Gorio,,,,tango
29214,Milonga con variación,-,Juan Sánchez Gorio,1945,01,04,tango
29215,Milonga con variación,-,Osvaldo Fresedo,1927,09,21,tango
29216,Milonga con variación,-,Osvaldo Fresedo,,,,tango
29217,Milonga con variación,-,Osvaldo Fresedo,,,,tango
29218,Milonga con variación,-,Rodolfo Biagi,,,,tango
29219,Milonga con variaciones,-,,,,,tango
29220,Milonga con variaciones,-,Donato Racciatti,,,,tango
29221,Milonga con variaciones,-,Francisco Canaro,1927,05,13,tango
29222,Milonga con variaciones,-,Ciriaco Ortiz,,,,tango
29223,Milonga con variaciones,-,Horacio Salgán,,,,tango
29224,Milonga con variaciones,-,José Basso,,,,tango
29225,Milonga con variaciones,-,José Basso,,,,tango
29226,Milonga con variaciones,-,"Quinteto Pirincho, dir. Francisco Canaro",1942,12,30,tango milonga
29227,Milonga con variaciones (Milonga con variación),-,"Quinteto Pirincho, dir. Francisco Canaro",1942,12,30,tango milonga
29228,Milonga criolla,-,Francisco Canaro,1927,03,10,tango
29229,Milonga de a tres,-,Esteban Morgado,,,,?
29230,Milonga de antaño,-,Francisco Canaro,1937,08,19,milonga
29231,Milonga de Don Taco,-,,,,,milonga
29232,Milonga de Jacinto Chiclana | Jacinto Chiclana,-,Alfredo Marcucci,,,,tango
29233,Milonga de la anunciación,-,Esteban Morgado,,,,?
29234,Milonga de la azotea,-,Aníbal Troilo,,,,?
29235,Milonga de la fonda,-,,,,,electro
29236,Milonga de la mala vida,-,Atilio Stampone,,,,milonga
29237,Milonga de la puteada,,Esteban Morgado,,,,?
29238,Milonga de mis adioses,-,,,,,?
29239,Milonga de mis amores,-,Anselmo A. Aieta,,,,milonga
29240,Milonga de mis amores,-,Alfredo Marcucci,,,,milonga
29241,Milonga de mis amores,-,Domingo Rulio,,,,milonga
29242,Milonga de mis amores,-,Francisco Canaro,1937,05,26,milonga
29243,Milonga de mis amores,-,,,,,milonga
29244,Milonga de mis amores,-,,,,,milonga
29245,Milonga de mis amores,-,Hugo Díaz,,,,milonga
29246,Milonga de mis amores,-,Juan Cambareri,,,,milonga
29247,Milonga de mis amores,-,Juan Cambareri,,,,milonga
29248,Milonga de mis amores,-,Juan D'Arienzo,1970,12,16,milonga
29249,Milonga de mis amores,-,Luis Borda,,,,milonga
29251,Milonga de mis amores,-,Pedro Laurenz,,,,milonga
29252,Milonga de mis amores,-,Pedro Laurenz,1944,01,14,milonga
