,Title,Vocalist(s),Instrumentalist(s),Year,Mo,Da,Genre
322,Acompañada y sola,María Graña,,,,,?
323,Aconsejando,Roberto Luque,Miguel Caló,1963,12,04,tango
324,Acordándome de vos,Francisco Fiorentino,Aníbal Troilo,1942,07,23,vals
325,Acordándome de vos,Alberto Morán,Armando Cupo,,,,vals
326,Acordate,Rosita Quiroga,-unspecified orchestra-,1926,12,15,tango
327,Acordate lo que fuiste,Carlos Dante,Juan D'Arienzo,,,,tango
328,Acordes porteños,Julio Martel,Alfredo De Angelis,1945,05,04,tango
329,Acosta en punta,Ernesto Famá,Osvaldo Fresedo,1928,02,02,tango
330,Acquaforte,Agustín Magaldi,,,,,tango
331,Acquaforte,Agustín Magaldi,,,,,tango
332,Acquaforte,Cristóbal Repetto,,,,,tango
333,Acquaforte,Luis Cardei,,,,,tango
334,Acquaforte,Carlos Gardel,"Ángel Domingo Riverol, Domingo Julio Vivas, Guillermo Barbieri, Horacio Pettorossi",1933,02,22,tango
335,Acquaforte,Agustín Magaldi,Diego Centeno,,,,tango
336,Acquaforte,Edmundo Rivero,Horacio Salgán,,,,tango
337,Acquaforte,-unspecified male-,Horacio Salgán,,,,tango
338,Acquaforte,Miguel Montero,Osvaldo Pugliese,1958,07,23,tango
339,Acquaforte,Fabián Russo,Sexteto Canyengue,,,,tango
340,Acquaforte,,Sexteto Canyengue,,,,
341,Acquaforte,Agustín Magaldi,-unspecified guitars-,,,,tango
342,Acquaforte,Agustín Magaldi,,,,,tango
343,Acquaforte,Jorge Durán,,,,,tango
344,Acuarela boquense (Soliloquio),Juan Carlos Rolón,Francisco Canaro,1957,01,02,tango
345,Acuarela ribereña,Edmundo Rivero,-unspecified guitars-,,,,tango
346,Acuarelita de arrabal,Carlos Gardel,"Guillermo Barbieri, José Ricardo",,,,tango
347,Acuarelita del arrabal,Azucena Maizani,Francisco Canaro,,,,tango
348,Acuérdate,Edmundo Rivero,-unspecified guitars-,,,,vals
349,Acuérdate de mí,Jorge Durán,Carlos Di Sarli,1946,08,29,vals
350,Acuérdate de mí,,,,,,canción
351,Acurrucadita,Osvaldo Novarro,,,,,?
352,Adelaida,Carlos Roldán,Francisco Canaro,1944,07,28,vals
353,Adelante,Carlos Gardel,"Guillermo Barbieri, José Ricardo",,,,marcha
354,Adelante la mozada,Roberto Ray,Osvaldo Fresedo,1933,11,02,ranchera
355,Adelina,Luis Díaz,Edgardo Donato,,,,tango
356,Adelina,Luis Díaz,Edgardo Donato,,,,tango
357,Adelita,"Armando Moreno, Omar Quiroz, Oscar Galán",Enrique Rodríguez,1959,01,30,corrido
358,Adiós,Alberto Podestá,,,,,tango
359,Adiós,Jorge Sobral,,,,,?
