,Title,Rhythm,Year of Composition,Music Composer,Lyrics Composer,Genre,Vocalist,Ensemble,Instrumentalist,Recording Info,Duration,File ID
6102,Soy muchacho de la guardia,Tango,1942,Agustín Irusta,Héctor Marcó,Tango,Roberto Arrieta,Orquesta,Lucio Demare,3-9-1942 Buenos Aires Odeon 8057 12193,,
6103,Soy porteñísima,Milonga,,"Aquiles Roggero, Miguel Caló",,Milonga,Instrumental,Orquesta,Miguel Caló,1972 Buenos Aires Embassy 50.023,,
6104,Soy tu esclavo,Pasodoble,,Francisco Pracánico,"Jesús Fernández Blanco, Virgilio Candeloro",Pasodoble,Mercedes Carné,Orquesta,Carlos Di Sarli,1932 Buenos Aires Brunswick,,
6105,Soy un arlequín,Tango,1929,Enrique Santos Discépolo,Enrique Santos Discépolo,Tango,Alberto Gómez,,,16-5-1929 Buenos Aires,02:27,573
6106,Soy un arlequín,Tango,1929,Enrique Santos Discépolo,Enrique Santos Discépolo,Tango,Carlos Dante,Orquesta,Alfredo De Angelis,11-9-1945 Buenos Aires Odeon 3788-B 14906,,
6107,Soy un arlequín,Tango,1929,Enrique Santos Discépolo,Enrique Santos Discépolo,Tango,Instrumental,Sexteto,Carlos Di Sarli,1-3-1929 Buenos Aires RCA-Victor 47033 44446,,
6108,Soy un porteño,Milonga,,José Razzano,Celedonio Flores,Milonga,Francisco Fiorentino,Orquesta,Aníbal Troilo,2-6-1943 Buenos Aires RCA-Victor 60-0104 84392,,
6109,Soy un tango así,Tango,,"Cacho Castaña, Miguel Orlando Iacopetti","Cacho Castaña, Miguel Orlando Iacopetti",Tango,Bruno Dandó,,Sexteto Mayor,15-4-1982 Buenos Aires Interdisc SLIN 3185,02:32,6343
6110,Soy un yo yo,Tango,,Alfredo De Angelis,Marvil,Tango,Carlos Aguirre,Orquesta,Alfredo De Angelis,23-6-1965 Buenos Aires Odeon 81-B 31467,,
6111,Soy una fiera,Milonga,,Francisco Martino,Francisco Martino,Milonga,Carlos Gardel,Guitarras de Barbieri y Ricardo,,16-12-1926 Buenos Aires Odeon 18195 173,02:24,1324
6112,Soy una fiera,Milonga,,Francisco Martino,Francisco Martino,Milonga,Oscar Larroca,Orquesta,Alfredo De Angelis,21-4-1954 Buenos Aires Odeon 55933-A 19443,,
