,Title,Instrumentalist,Vocalist,Date,Location,Genre,Music Composer,Lyrics Composer,Year of Composition,Recording Info,File ID
840,Buscando perdón,Orquesta Alfredo De Angelis,Carlos Dante,1949-09-26,Buenos Aires,Tango,"Alberto Talián, Eduardo Talián",Santiago Adamini,1949,Odeon 30424-B 17433,
842,C.T.V.,Orquesta Aníbal Troilo,Instrumental,1942-01-08,Buenos Aires,Tango,Agustín Bardi,,,RCA-Victor 39519 59968,
843,Caballo de calesita,Orquesta Miguel Caló,Carlos Dante,1936-03-14,Buenos Aires,Tango,"Miguel Nijensohn, Pedro Pandolfi",Carlos Marín,,Odeon 8358 8483,
847,Cabecitas blancas,Orquesta Osvaldo Pugliese,Roberto Chanel,1947-10-14,Buenos Aires,Tango,Alberto Pugliese,Enrique Dizeo,,Odeon 7694 16751,
850,Cachá viaje,Orquesta Alberto Mancione,Jorge Ledesma,1952-06-13,Buenos Aires,Tango,Jaime Vila,Ernesto Cardenal,,RCA-Victor 63-0171-B 94952/1,1995
851,Cachá viaje,Orquesta Osvaldo Pugliese,Miguel Montero,1957-07-10,Buenos Aires,Tango,Jaime Vila,Ernesto Cardenal,,Odeon 52193 22269,
852,Cachá viaje,Orquesta Ricardo Tanturi,Horacio Roca,1957-02-15,Buenos Aires,Tango,Jaime Vila,Ernesto Cardenal,,RCA-Victor 68-2513 12H2TB78,
854,Cachadora,,Carlos Gardel,1929-06-20,Buenos Aires,Tango,Francisco Lomuto,Francisco Lomuto,1928,Odeon 18279 E 4263,7510
855,Cachadora,Orquesta Leopoldo Federico,Julio Sosa,1962-04-11,Buenos Aires,Tango,Francisco Lomuto,Francisco Lomuto,1928,CBS-Columbia 8340 2910,
856,Cachirliando,Orquesta Aníbal Troilo,Elba Berón,1962-01-09,Buenos Aires,Tango,Adolfo Berón,Enrique Uzal,,RCA-Victor AVL-3416 3121,
857,Cachirulo,Orquesta Aníbal Troilo,Instrumental,1941-03-04,Buenos Aires,Tango,Francisco Cafiero,,,RCA-Victor 39256 39825,
858,Cachivache,Sexteto Carlos Di Sarli,Fernando Díaz,1931-01-10,Buenos Aires,Tango,C. L. Gallardo,R. Acosta Lara,,RCA-Victor 47527 60575,
859,Cada día te extraño más,Orquesta Aníbal Troilo,Francisco Fiorentino,1943-12-17,Buenos Aires,Tango,Armando Pontier,Carlos Bahr,1943,RCA-Victor 60-0317 77479,
860,Cada día te extraño más,Orquesta Miguel Caló,Raúl Iriarte,1943-09-16,Buenos Aires,Tango,Armando Pontier,Carlos Bahr,1943,Odeon 8380 13119,
863,Cada vez que me recuerdes,Orquesta Aníbal Troilo,Francisco Fiorentino,1943-04-05,Buenos Aires,Tango,Mariano Mores,José María Contursi,1943,RCA-Victor 60-0035 84290,
866,Cada vez que me recuerdes,Orquesta Raúl Garello,Rosanna Falasca,1976-07-16,Buenos Aires,Tango,Mariano Mores,José María Contursi,1943,EMI-Odeon 6294,
868,Cada vez te extraño más,Orquesta Juan D'Arienzo,Armando Laborde,1964-10-09,Buenos Aires,Tango,Héctor Bello Schmitt,Héctor Bello Schmitt,,RCA-Victor AVL-3556 RAAN-4560,
869,Cadenas,,Mercedes Simone,1933-06-08,Buenos Aires,Tango,Luis Rubistein,Luis Rubistein,1933,RCA-Victor 37424-A,1928
870,Cadenas,"Orquesta Símbolo ""Osmar Maderna"" - dir: Aquiles Roggero",Ruth Durante,1959-11-23,Buenos Aires,Tango,Luis Rubistein,Luis Rubistein,1933,RCA-Victor AVL-3198,2643
871,Cadenas,Orquesta Osvaldo Pugliese,Alberto Morán,1950-06-30,Buenos Aires,Tango,Luis Rubistein,Luis Rubistein,1933,Odeon 55117 17700,
873,Cadenita de amor,Orquesta Carlos Marcucci,Roberto Díaz,1930-05-23,Buenos Aires,Ranchera,Carlos Marcucci,Nicolás Trimani,,RCA-Victor,7055
875,Café,Orquesta Enrique Rodríguez,Armando Moreno,1946-01-09,Buenos Aires,Tango,Enrique Rodríguez,Horacio Sanguinetti,,Odeon 7287 15272,706
876,Café de Barracas (No),Orquesta Ángel D'Agostino,Tino García,1952-07-24,Buenos Aires,Tango,Eduardo Arolas,Enrique Cadícamo,,RCA-Victor 68-0346 SO-0012,
877,Café de Los Angelitos,Orquesta Aníbal Troilo,Alberto Marino,1944-12-19,Buenos Aires,Tango,"José Razzano, Cátulo Castillo","José Razzano, Cátulo Castillo",1944,RCA-Victor 60-0633 79992,
878,Café de Los Angelitos,Orquesta Rodolfo Biagi,Alberto Amor,1945-06-15,Buenos Aires,Tango,"José Razzano, Cátulo Castillo","José Razzano, Cátulo Castillo",1944,Odeon 5652 14689,
880,Café Domínguez,Orquesta Ángel D'Agostino,Instrumental,1955-08-16,Buenos Aires,Tango,Ángel D'Agostino,,,RCA-Victor 68-2214 SO-4130,656
882,Café La Humedad,Orquesta Raúl Garello,Rubén Juárez,1974-01-21,Buenos Aires,Tango,Cacho Castaña,Cacho Castaña,,EMI-Odeon 6501,783
884,Café para dos,Orquesta Alfredo De Angelis,Oscar Larroca,1956-10-29,Buenos Aires,Tango,Francisco Canaro,Francisco Canaro,,Odeon 52066-B 21477,
885,Café para dos,Orquesta Francisco Canaro,Guillermo Rico,1956-09-25,Buenos Aires,Tango,Francisco Canaro,Francisco Canaro,,Odeon LDS-799 21351,
886,Café para dos,Orquesta Miguel Caló,Alfredo Dalton,1956-10-19,Buenos Aires,Tango,Francisco Canaro,Francisco Canaro,,Odeon 52056 21440,
889,Cafetín,,Miguel Montero,1972-12-19,Buenos Aires,Tango,Argentino Galván,Homero Expósito,1947,Odeon,7506
890,Cafetín,Orquesta Osvaldo Pugliese,Alberto Morán,1947-03-27,Buenos Aires,Tango,Argentino Galván,Homero Expósito,1947,Odeon 7690 16339,
891,Cafetín de Buenos Aires,Orquesta Aníbal Troilo,Edmundo Rivero,1948-07-08,Buenos Aires,Tango,Mariano Mores,Enrique Santos Discépolo,1948,RCA-Victor 60-1643 83998,
892,Cafetín de Buenos Aires,Orquesta Héctor Stamponi,Tania,1948-07-01,Buenos Aires,Tango,Mariano Mores,Enrique Santos Discépolo,1948,RCA-Victor 60-1641,494
893,Cafetín de Buenos Aires,Orquesta Jorge Dragone,Argentino Ledesma,1959-12-14,Buenos Aires,Tango,Mariano Mores,Enrique Santos Discépolo,1948,,1120
894,Cafetín de Buenos Aires,Orquesta Miguel Caló,Alberto Marino,1967-05-15,Buenos Aires,Tango,Mariano Mores,Enrique Santos Discépolo,1948,Odeon LDB-126 33451,
896,Cafetín de Buenos Aires,,Nelly Omar,1997-12-19,Buenos Aires,Tango,Mariano Mores,Enrique Santos Discépolo,1948,Magenta 512.510,
897,Caído del cielo,Orquesta Alfredo De Angelis,Instrumental,1955-04-26,Buenos Aires,Tango,"Pedro Polito, Antonio Polito",Antonio Polito,,Odeon 51732-B 20106,
902,Calla,Orquesta Alfredo Gobbi,Tito Landó,1956-09-18,Buenos Aires,Tango,Roberto Rufino,Manuel Barros,,RCA-Victor 1A-1063 SO5117,
903,Calla,Orquesta Aníbal Troilo,Roberto Goyeneche,1956-09-07,Buenos Aires,Tango,Roberto Rufino,Manuel Barros,,T.K. E 10117 1346,
