,Title,Instrumentalist,Vocalist,Date,Location,Genre,Music Composer,Lyrics Composer,Year of Composition,Recording Info,File ID
1017,Canción para un breve final,Orquesta Francini-Pontier,Roberto Rufino,1948-02-04,Buenos Aires,Tango,Armando Pontier,Homero Expósito,,RCA-Victor 60-1552 83939,
1018,Canción para un breve final,Orquesta Lalo Marenales,Luis Alberto Fleitas,1948,Montevideo,Tango,Armando Pontier,Homero Expósito,,Sondor 5145 2041,7522
1019,Canción para un cariño,Orquesta Rodolfo Biagi,Hugo Duval,1961-10-04,Buenos Aires,Tango,Luis Maggiolo,Reinaldo Yiso,,Columbia 21042 2736,
1020,Canción para un niño negro,Orquesta Osvaldo Pugliese,Abel Córdoba,1969,BUENOS AIRES,Milonga,Fulvio Salamanca,Fulvio Salamanca,,Philips 82229 08.1969,
1021,Canción sin puñales,Conjunto dir: Esteban Morgado,Adriana Varela,1991,Buenos Aires,Canción,Litto Nebbia,Litto Nebbia,,Melopea Tangos,
1022,Canción sin puñales,Piano de Litto Nebbia,Adriana Varela,1994,Buenos Aires,Canción,Litto Nebbia,Litto Nebbia,,Melopea CDMSE-5064,
1023,Candombe blanco,Orquesta Osvaldo Pugliese,"Alfredo Belusi, Jorge Maciel",1961,Buenos Aires,Milonga,Emilio Balcarce,Julio Camilloni,,Philips 45046 10.1962,
1024,Candombe de carnaval,Orquesta Juan Cao,"Nina Miranda, Alberto Bianchi",1948,Montevideo,Candombe,"Juan Cao, Mario Orrico",Alberto Luces,,Sondor,
1025,Candombe rioplatense,Orquesta José García,Alfredo Rojas,1943-08-13,Buenos Aires,Candombe,Pintín Castellanos,Carmelo Santiago,,Odeon 7412 13038,
1026,Canillita canillita,Orquesta Francisco Pracánico,Sofía Bozán,1928,Buenos Aires,Tango,Tomás De Bassi,Antonio Botta,,Electra 1507 252,3823
1027,Canta pajarito,Orquesta Carlos Di Sarli,Roberto Rufino,1943-03-17,Buenos Aires,Tango,Juan José Guichandut,Oscar Rubens,1943,RCA-Victor 60-0023 84260,638
1028,Canta pajarito,Orquesta Lucio Demare,Raúl Berón,1943-06-10,Buenos Aires,Tango,Juan José Guichandut,Oscar Rubens,1943,Odeon 8067-A 12837,
1029,Cantá y cantá,Guitarras de: Naldo Labrín,Carlos Bergesio,2013,Buenos Aires,Milongón,Carlos Bergesio,Julio Fontana,,Utopia 5145,7269
1030,Cantando,Orquesta Adolfo Carabelli,"Mercedes Simone, Alberto Gómez",1931-09-04,Buenos Aires,Tango,Mercedes Simone,Mercedes Simone,1931,RCA-Victor,3642
1031,Cantando,Orquesta Alfredo De Angelis,"Carlos Dante, Oscar Larroca",1957-09-05,Buenos Aires,Tango,Mercedes Simone,Mercedes Simone,1931,Odeon 52236-B 22465,
1032,Cantando olvidaré,Orquesta Ángel D'Agostino,Ángel Vargas,1943-11-15,Buenos Aires,Tango,"Ángel D'Agostino, Alfredo Attadía",José Fernández,,RCA-Victor 60-0265 77379,
1033,Cantando se van las penas,Orquesta Rodolfo Biagi,Jorge Ortiz,1940-06-28,Buenos Aires,Milonga,Roberto Lurati,Roberto Lurati,,Odeon 5615 10575,
1034,Cantando se van las penas,Orquesta Rodolfo Biagi,Jorge Ortiz,1940-06-28,Buenos Aires,Milonga,Roberto Lurati,Roberto Lurati,,Odeon 5615 10575,
1035,Cantar es vivir,Quinteto Tangoloco Daniel García,Lisette Grosso Schmid,2014,Buenos Aires,Tango,Daniel García,Marta Pizzo,2009,Sony Music 3097962,7299
1036,Cantar eterno,,Carlos Gardel,1931-09-23,Buenos Aires,Tango,Ángel Villoldo,Ángel Villoldo,,Odeon 18859 6875,1312
1037,Cantemos corazón,,Horacio Casares,1957-03-18,Buenos Aires,Tango,Enrique Alessio,Reinaldo Yiso,,Pampa 1239,1411
1038,Cantemos corazón,Orquesta Carlos Di Sarli,Roberto Florio,1956-11-02,Buenos Aires,Tango,Enrique Alessio,Reinaldo Yiso,,RCA-Victor 1A-1116 S5192,
1039,Cantemos corazón,Orquesta Juan D'Arienzo,Armando Laborde,1956-08-23,Buenos Aires,Tango,Enrique Alessio,Reinaldo Yiso,,RCA-Victor 1A-0878 5084,
1040,Cantinera,Orquesta Jorge Dragone,Argentino Ledesma,1957-07-16,Buenos Aires,Vals,Marsilio Robles,Marsilio Robles,,Emi,6308
1041,Canto al tango,Orquesta Manuel Buzón,Osvaldo Moreno,1943-02-10,Buenos Aires,Tango,Federico Scorticati,Federico Scorticati,,Odeon 3707 12566,486
1042,Canto de amor,Orquesta Osvaldo Fresedo,Roberto Ray,1934-06-18,Buenos Aires,Tango,Osvaldo Fresedo,Emilio Fresedo,,RCA-Victor 37611 86527,6924
1043,Cantor de barrio,Orquesta Ricardo Tanturi,Enrique Campos,1945-07-13,Buenos Aires,Tango,Felipe Mitre Navas,Carlos Cacciari,,RCA-Victor 60-0732 80722,4679
1044,Cantor de mi barrio,Orquesta Aníbal Troilo,Roberto Goyeneche,1956,Buenos Aires,Tango,"Juan José Riverol, Francisco Loiacono","Juan José Riverol, Francisco Loiacono",1956,T.K. E 10138 1409,
1045,Canyengue,Orquesta Antonio Rodio,Mario Pomar,1943-05-11,Buenos Aires,Tango,Salvador Ripu,Julio Medrano,1938,Odeon 7600 12754,
1046,Canzoneta,,Alberto Marino,1954-07-27,Buenos Aires,Tango,Erma Suárez,Enrique Lary,,Odeon,1925
1047,Canzoneta,Orquesta Alfredo Gobbi,Jorge Maciel,1954-06-22,Buenos Aires,Tango,Erma Suárez,Enrique Lary,,RCA-Victor 68-2427 SO2637,
1048,Canzoneta,Orquesta Osvaldo Pugliese,Jorge Maciel,1954-10-29,Buenos Aires,Tango,Erma Suárez,Enrique Lary,,Odeon 51633 19787,
1049,Canzoneta,Orquesta Juan D'Arienzo,Armando Laborde,1954-08-13,Buenos Aires,Tango,Erma Suárez,Enrique Lary,,RCA-Victor 68-1788 2749,
